service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
69380,1,1,1,1,1,0,0,20240610,20240913
69127,0,1,1,1,1,0,0,20240610,20240913
69014,0,1,1,0,1,0,0,20240610,20240913
61542,0,1,1,0,1,0,0,20240610,20240903
60960,1,1,1,0,1,0,0,20240610,20240830
52860,0,1,1,0,0,0,0,20240610,20240912
52645,0,0,0,0,0,0,0,20240612,20240911
49954,1,1,1,0,0,0,0,20240619,20240830
19060,0,0,0,0,0,0,0,20240610,20240913
16369,0,0,0,0,0,0,0,20240610,20240913
16154,0,0,0,0,1,0,0,20240614,20240913
12343,0,0,0,0,0,0,1,20240616,20240908
12230,0,0,0,0,0,0,1,20240616,20240908
11977,0,0,0,0,0,0,1,20240616,20240908
11248,0,0,0,0,0,0,1,20240623,20240908
8721,0,0,0,0,0,1,0,20240615,20240907
8616,0,0,0,0,0,1,0,20240622,20240907
8054,1,1,1,1,1,0,0,20240903,20240913
7472,1,1,1,1,1,0,0,20240904,20240913
1812,0,0,0,0,0,0,0,20240612,20240911
1095,0,0,0,0,0,0,1,20240616,20240616
879,0,0,0,0,1,0,0,20240621,20240621
366,0,0,0,0,0,0,0,20240704,20240902
105,0,0,0,0,0,1,0,20240615,20240615
